[GIN] 2022/07/28 - 13:19:47 | 400 |    273.6528ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    280.8966ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    285.4219ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    285.7048ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    273.7874ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    285.2464ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    285.6167ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    286.0548ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    285.7747ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    286.5246ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |     349.459ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    281.9765ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    288.8208ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    289.3636ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    288.8948ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    296.1731ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    402.3241ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    285.6468ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    401.4988ms |    172.30.128.1 | POST     "/sku/create/multi/"
[GIN] 2022/07/28 - 13:19:47 | 400 |    401.2454ms |    172.30.128.1 | POST     "/sku/create/multi/"
